anon_subj_idx,acc,rt,trial,epoch_number,epoch_trial,epoch_trial_run,reward_code,lambda,opt_choice_prob,id_choice,id_solution,LR_choice,LR_solution,change_point
1,1.0,0.2730960845947265,0,24.0,1.0,1.0,0,10.0,0.65,102.0,102.0,82.0,82.0,0.0
1,1.0,0.4473960399627686,1,24.0,2.0,2.0,0,10.0,0.65,102.0,102.0,82.0,82.0,0.0
1,1.0,0.483065128326416,2,24.0,3.0,3.0,0,10.0,0.65,102.0,102.0,76.0,76.0,0.0
1,0.0,0.5100710391998291,3,24.0,4.0,4.0,0,10.0,0.65,109.0,102.0,82.0,76.0,0.0
1,0.0,0.4024620056152344,4,24.0,5.0,5.0,0,10.0,0.65,109.0,102.0,82.0,76.0,0.0
1,0.0,0.5077579021453857,5,24.0,6.0,6.0,0,10.0,0.65,109.0,102.0,82.0,76.0,0.0
1,0.0,0.5581519603729248,6,24.0,7.0,7.0,0,10.0,0.65,109.0,102.0,76.0,82.0,0.0
1,0.0,0.5137419700622559,7,24.0,-3.0,-3.0,0,10.0,0.65,109.0,102.0,82.0,76.0,0.0
1,0.0,0.5256609916687012,8,24.0,-2.0,-2.0,0,10.0,0.65,109.0,102.0,82.0,76.0,0.0
1,1.0,0.5024800300598145,9,24.0,-1.0,-1.0,0,10.0,0.65,102.0,102.0,82.0,82.0,0.0
1,0.0,0.5416171550750732,10,25.0,0.0,0.0,0,10.0,0.65,102.0,109.0,76.0,82.0,1.0
1,0.0,0.5177788734436036,11,25.0,1.0,1.0,0,10.0,0.65,102.0,109.0,82.0,76.0,0.0
1,1.0,0.5143048763275145,12,25.0,2.0,2.0,0,10.0,0.65,109.0,109.0,76.0,76.0,0.0
1,0.0,0.472118854522705,13,25.0,3.0,3.0,0,10.0,0.65,102.0,109.0,82.0,76.0,0.0
1,0.0,0.54549503326416,14,25.0,4.0,4.0,0,10.0,0.65,102.0,109.0,82.0,76.0,0.0
1,1.0,0.4728169441223146,15,25.0,5.0,5.0,0,10.0,0.65,109.0,109.0,82.0,82.0,0.0
1,1.0,0.5030031204223633,16,25.0,6.0,6.0,0,10.0,0.65,109.0,109.0,82.0,82.0,0.0
1,1.0,0.6100089550018312,17,25.0,7.0,7.0,0,10.0,0.65,109.0,109.0,76.0,76.0,0.0
1,0.0,0.602513074874878,18,25.0,-3.0,-3.0,0,10.0,0.65,102.0,109.0,76.0,82.0,0.0
1,1.0,0.5891618728637695,19,25.0,-2.0,-2.0,0,10.0,0.65,109.0,109.0,76.0,76.0,0.0
1,1.0,0.4938549995422363,20,25.0,-1.0,-1.0,0,10.0,0.65,109.0,109.0,82.0,82.0,0.0
1,1.0,0.5092949867248536,21,26.0,0.0,0.0,0,10.0,0.65,102.0,102.0,76.0,76.0,1.0
1,1.0,0.5412580966949463,22,26.0,1.0,1.0,0,10.0,0.65,102.0,102.0,76.0,76.0,0.0
1,0.0,0.5770809650421143,23,26.0,2.0,2.0,0,10.0,0.65,109.0,102.0,76.0,82.0,0.0
1,1.0,0.5963010787963867,24,26.0,3.0,3.0,0,10.0,0.65,102.0,102.0,76.0,76.0,0.0
1,0.0,0.611725091934204,25,26.0,4.0,4.0,0,10.0,0.65,109.0,102.0,82.0,76.0,0.0
1,0.0,0.5651249885559082,26,26.0,5.0,5.0,0,10.0,0.65,109.0,102.0,76.0,82.0,0.0
1,0.0,0.6517500877380371,27,26.0,-3.0,-3.0,0,10.0,0.65,109.0,102.0,82.0,76.0,0.0
1,0.0,0.5946581363677979,28,26.0,-2.0,-2.0,0,10.0,0.65,109.0,102.0,82.0,76.0,0.0
1,0.0,0.5349729061126708,29,26.0,-1.0,-1.0,0,10.0,0.65,109.0,102.0,82.0,76.0,0.0
1,1.0,0.565765142440796,30,27.0,0.0,0.0,0,10.0,0.65,109.0,109.0,82.0,82.0,1.0
1,0.0,0.5430331230163575,31,27.0,1.0,1.0,0,10.0,0.65,102.0,109.0,76.0,82.0,0.0
1,,,32,27.0,2.0,2.0,0,10.0,0.65,,109.0,,76.0,0.0
1,0.0,0.5310640335083008,33,27.0,3.0,3.0,0,10.0,0.65,102.0,109.0,82.0,76.0,0.0
1,0.0,0.6254799365997313,34,27.0,4.0,4.0,0,10.0,0.65,102.0,109.0,76.0,82.0,0.0
1,1.0,0.5522959232330322,35,27.0,5.0,5.0,0,10.0,0.65,109.0,109.0,76.0,76.0,0.0
1,0.0,0.466336965560913,36,27.0,6.0,6.0,0,10.0,0.65,102.0,109.0,82.0,76.0,0.0
1,1.0,0.4315700531005859,37,27.0,-3.0,-3.0,0,10.0,0.65,109.0,109.0,82.0,82.0,0.0
1,1.0,0.571382999420166,38,27.0,-2.0,-2.0,0,10.0,0.65,109.0,109.0,76.0,76.0,0.0
1,1.0,0.4709069728851319,39,27.0,-1.0,-1.0,0,10.0,0.65,109.0,109.0,82.0,82.0,0.0
1,1.0,0.5882289409637452,40,28.0,0.0,0.0,0,10.0,0.65,102.0,102.0,76.0,76.0,1.0
1,1.0,0.5231330394744873,41,28.0,1.0,1.0,0,10.0,0.65,102.0,102.0,82.0,82.0,0.0
1,0.0,0.5379431247711182,42,28.0,-3.0,-3.0,0,10.0,0.65,109.0,102.0,82.0,76.0,0.0
1,1.0,0.5735177993774414,43,28.0,-2.0,-2.0,0,10.0,0.65,102.0,102.0,76.0,76.0,0.0
1,1.0,0.579124927520752,44,28.0,-1.0,-1.0,0,10.0,0.65,102.0,102.0,82.0,82.0,0.0
1,1.0,0.541841983795166,45,29.0,0.0,0.0,0,10.0,0.65,109.0,109.0,76.0,76.0,1.0
1,0.0,0.5012269020080566,46,29.0,1.0,1.0,0,10.0,0.65,102.0,109.0,82.0,76.0,0.0
1,0.0,0.5302078723907471,47,29.0,2.0,2.0,0,10.0,0.65,102.0,109.0,82.0,76.0,0.0
1,0.0,0.6228690147399903,48,29.0,-3.0,-3.0,0,10.0,0.65,102.0,109.0,76.0,82.0,0.0
